no,region,type,power,service
1,NDMC,DC-001,15 kW,Self Service
2,NDMC,DC-001,15 kW,Self Service
3,NDMC,DC-001,15 kW,Self Service
4,NDMC,DC-001,15 kW,Self Service
5,NDMC,DC-001,15 kW,Self Service
6,NDMC,DC-001,15 kW,Self Service
7,NDMC,DC-001,15 kW,Self Service
8,NDMC,DC-001,15 kW,Self Service
9,NDMC,DC-001,15 kW,Self Service
10,NDMC,DC-001,15 kW,Self Service
11,NDMC,DC-001,15 kW,Self Service
12,NDMC,DC-001,15 kW,Self Service
13,NDMC,DC-001,15 kW,Self Service
14,NDMC,DC-001,15 kW,Self Service
15,NDMC,DC-001,15 kW,Self Service
16,NDMC,DC-001,15 kW,Self Service
17,NDMC,DC-001,15 kW,Self Service
18,NDMC,DC-001,15 kW,Self Service
19,NDMC,DC-001,15 kW,Self Service
20,NDMC,DC-001,15 kW,Self Service
21,NDMC,DC-001,15 kW,Self Service
22,NDMC,DC-001,15 kW,Self Service
23,NDMC,DC-001,15 kW,Self Service
24,NDMC,DC-001,15 kW,Self Service
25,NDMC,DC-001,15 kW,Self Service
26,NDMC,DC-001,15 kW,Self Service
27,NDMC,DC-001,15 kW,Self Service
28,NDMC,DC-001,15 kW,Self Service
29,NDMC,DC-001,15 kW,Self Service
30,NDMC,DC-001,15 kW,Self Service
31,NDMC,DC-001,15 kW,Self Service
32,NDMC,DC-001,15 kW,Self Service
33,CMRL,DC-001,15 kW,Self Service
34,CMRL,AC-001,10(3.3 kW each),Self Service
35,Maha Metro,DC-001,15 kW,Self Service
36,Maha Metro,AC-001,10(3.3 kW each),Self Service
37,NDMC,DC-001,15 kW,Self Service
38,NDMC,DC-001,15 kW,Self Service
39,NDMC,DC-001,15 kW,Self Service
40,NDMC,DC-001,15 kW,Self Service
41,NDMC,DC-001,15 kW,Self Service
42,NDMC,DC-001,15 kW,Self Service
43,NDMC,DC-001,15 kW,Self Service
44,NDMC,DC-001,15 kW,Self Service
45,NDMC,DC-001,15 kW,Self Service
46,NDMC,DC-001,15 kW,Self Service
47,NDMC,DC-001,15 kW,Self Service
48,NDMC,DC-001,15 kW,Self Service
49,Noida Authority,DC-001,15 kW,Self Service
50,Noida Authority,DC-001,15 kW,Self Service
51,NDMC,DC-001,15 kW,Self Service
52,NDMC,DC-001,15 kW,Self Service
53,NDMC,DC-001,15 kW,Self Service
54,NDMC,DC-001,15 kW,Self Service
55,NDMC,DC-001,15 kW,Self Service
56,NDMC,DC-001,15 kW,Self Service
57,NDMC,DC-001,15 kW,Self Service
58,NDMC,DC-001,15 kW,Self Service
59,CMRL,DC-001,15 kW,Self Service
60,CMRL,AC-001,10(3.3 kW each),Self Service
61,CMRL,DC-001,15 kW,Self Service
62,CMRL,AC-001,10(3.3 kW each),Self Service
63,CMRL,DC-001,15 kW,Self Service
64,CMRL,AC-001,10(3.3 kW each),Self Service
65,NDMC,DC-001,15 kW,Self Service
66,NDMC,DC-001,15 kW,Self Service
67,NDMC,DC-001,15 kW,Self Service
68,SDMC,DC-001,15 kW,Self Service
69,SDMC,DC-001,15 kW,Self Service
70,SDMC,DC-001,15 kW,Self Service
71,SDMC,DC-001,15 kW,Self Service
72,SDMC,DC-001,15 kW,Self Service
73,NKDA,DC-001,15 kW,Self Service
74,NKDA,AC-001,10(3.3 kW each),Self Service
75,NKDA,DC-001,15 kW,Self Service
76,NKDA,AC-001,10(3.3 kW each),Self Service
77,NKDA,DC-001,15 kW,Self Service
78,NKDA,AC-001,10(3.3 kW each),Self Service
79,NKDA,DC-001,15 kW,Self Service
80,NKDA,AC-001,10(3.3 kW each),Self Service
81,NKDA,DC-001,15 kW,Self Service
